source_subpath	target_subpath	kind	repo	repo_path	cluster	notes
Humanizer-zh	content/humanizer-zh	atomic	op7418/Humanizer-zh	/	humanizer	Chinese text de-AI-ification; rewrite to natural prose. Sibling: content/ai-check (detects), content/format-markdown (formats).
baoyu-skills/.claude/skills/release-skills	git/release-workflow	atomic	JimLiu/baoyu-skills	/.claude/skills/release-skills	-	Universal release workflow (Node/Python/Rust/Claude plugin/GitHub Releases/tags/backfill).
baoyu-skills/skills/baoyu-article-illustrator	content/article-illustrator	composite	JimLiu/baoyu-skills	/skills/baoyu-article-illustrator	visual	Article illustration planning + image prompts via Type x Style x Palette.
baoyu-skills/skills/baoyu-comic	content/comic	composite	JimLiu/baoyu-skills	/skills/baoyu-comic	visual	Knowledge comic creator (multi art-style, tones, panel layouts, batch image gen).
baoyu-skills/skills/baoyu-compress-image	productivity/compress-image	composite	JimLiu/baoyu-skills	/skills/baoyu-compress-image	-	WebP/PNG compression via sips/cwebp/ImageMagick/Sharp.
baoyu-skills/skills/baoyu-cover-image	content/cover-image	composite	JimLiu/baoyu-skills	/skills/baoyu-cover-image	visual	Article cover images: type x palette x rendering x text x mood.
baoyu-skills/skills/baoyu-danger-gemini-web	ai-backends/gemini-web	composite-danger	JimLiu/baoyu-skills	/skills/baoyu-danger-gemini-web	-	DANGER: reverse-engineered Gemini Web API; needs browser session.
baoyu-skills/skills/baoyu-danger-x-to-markdown	productivity/x-to-markdown	composite-danger	JimLiu/baoyu-skills	/skills/baoyu-danger-x-to-markdown	extract	DANGER: reverse-engineered X/Twitter API to Markdown. Sibling: productivity/url-to-markdown.
baoyu-skills/skills/baoyu-diagram	engineering/diagram	composite	JimLiu/baoyu-skills	/skills/baoyu-diagram	-	Professional dark-themed SVG diagrams (architecture/flow/sequence/structural/mindmap/timeline).
baoyu-skills/skills/baoyu-electron-extract	engineering/electron-extract	composite	JimLiu/baoyu-skills	/skills/baoyu-electron-extract	-	Extract JS/resources from installed Electron apps (.asar bundles).
baoyu-skills/skills/baoyu-format-markdown	content/format-markdown	composite	JimLiu/baoyu-skills	/skills/baoyu-format-markdown	humanizer	Format MD with frontmatter/titles/summaries/headings. Sibling: content/humanizer-zh, content/ai-check.
baoyu-skills/skills/baoyu-image-gen	ai-backends/image-gen	composite	JimLiu/baoyu-skills	/skills/baoyu-image-gen	-	Multi-provider image generation API (OpenAI/Azure/Google/OpenRouter/DashScope/Z.AI/MiniMax/Jimeng/Seedream/Replicate/Agnes).
baoyu-skills/skills/baoyu-infographic	content/infographic	composite	JimLiu/baoyu-skills	/skills/baoyu-infographic	visual	Professional infographics with 21 layouts x 22 styles.
baoyu-skills/skills/baoyu-markdown-to-html	content/markdown-to-html	composite	JimLiu/baoyu-skills	/skills/baoyu-markdown-to-html	publish	Markdown to styled HTML (WeChat-compatible themes, code highlight, math, Mermaid, PlantUML, footnotes, citations).
baoyu-skills/skills/baoyu-post-to-wechat	content/post-to-wechat	composite	JimLiu/baoyu-skills	/skills/baoyu-post-to-wechat	publish	Post to WeChat Official Account via API or Chrome CDP.
baoyu-skills/skills/baoyu-post-to-weibo	content/post-to-weibo	composite	JimLiu/baoyu-skills	/skills/baoyu-post-to-weibo	publish	Post to Weibo via Chrome CDP; supports articles.
baoyu-skills/skills/baoyu-post-to-x	content/post-to-x	composite	JimLiu/baoyu-skills	/skills/baoyu-post-to-x	publish	Post to X/Twitter via Chrome extension, Computer Use, or CDP.
baoyu-skills/skills/baoyu-slide-deck	content/slide-deck-baoyu	composite	JimLiu/baoyu-skills	/skills/baoyu-slide-deck	slide	Slide deck images from content. Sibling: content/guizang-ppt.
baoyu-skills/skills/baoyu-translate	content/translate	composite	JimLiu/baoyu-skills	/skills/baoyu-translate	-	Three-mode translation: quick/normal/refined (with subagent polish).
baoyu-skills/skills/baoyu-url-to-markdown	productivity/url-to-markdown	composite	JimLiu/baoyu-skills	/skills/baoyu-url-to-markdown	extract	Any-URL to Markdown via baoyu-fetch CLI; site adapters (X, YouTube, HN). Sibling: productivity/x-to-markdown, productivity/youtube-transcript.
baoyu-skills/skills/baoyu-wechat-summary	productivity/wechat-summary	composite	JimLiu/baoyu-skills	/skills/baoyu-wechat-summary	-	Summarize WeChat group chats via local wx-cli (macOS).
